#,Date-Time (MST/MDT),Ch: 1 - Temperature   (°C ),Ch: 2 - RH   (%),Dew Point   (°C ),Host Connected,End of File
1,10/07/2022 14:59:38,19.85,26.95,0.30,,
2,10/07/2022 15:02:38,19.98,27.17,0.52,,
3,10/07/2022 15:05:38,19.95,26.56,0.18,,
4,10/07/2022 15:08:38,19.80,25.76,-0.37,,
5,10/07/2022 15:11:38,19.75,25.42,-0.59,,
6,10/07/2022 15:14:38,19.61,26.44,-0.17,,
7,10/07/2022 15:17:38,20.22,25.42,-0.19,,
8,10/07/2022 15:20:38,20.17,26.19,0.18,,
9,10/07/2022 15:23:38,20.06,25.85,-0.10,,
10,10/07/2022 15:26:38,20.25,26.34,0.32,,
11,10/07/2022 15:29:38,20.44,27.18,0.92,,
12,10/07/2022 15:32:38,20.40,25.92,0.23,,
13,10/07/2022 15:35:38,19.69,26.47,-0.09,,
14,10/07/2022 15:38:38,20.50,25.21,-0.07,,
15,10/07/2022 15:41:38,20.69,24.19,-0.48,,
16,10/07/2022 15:44:38,20.76,23.93,-0.56,,
17,10/07/2022 15:47:38,20.73,23.72,-0.71,,
18,10/07/2022 15:50:38,20.56,23.41,-1.04,,
19,10/07/2022 15:53:38,20.47,24.46,-0.51,,
20,10/07/2022 15:56:38,20.80,22.78,-1.20,,
21,10/07/2022 15:59:38,21.02,23.52,-0.58,,
22,10/07/2022 16:02:38,20.91,23.60,-0.63,,
23,10/07/2022 16:05:38,20.59,22.25,-1.70,,
24,10/07/2022 16:08:38,20.64,22.63,-1.42,,
25,10/07/2022 16:11:38,21.01,22.67,-1.10,,
26,10/07/2022 16:14:38,20.86,21.48,-1.95,,
27,10/07/2022 16:17:38,20.31,22.51,-1.78,,
28,10/07/2022 16:20:38,20.45,22.46,-1.69,,
29,10/07/2022 16:23:38,21.01,22.18,-1.39,,
30,10/07/2022 16:26:38,20.71,22.97,-1.17,,
31,10/07/2022 16:29:38,20.64,23.26,-1.05,,
32,10/07/2022 16:32:38,20.69,21.33,-2.19,,
33,10/07/2022 16:35:38,19.89,22.31,-2.25,,
34,10/07/2022 16:38:38,19.82,22.51,-2.19,,
35,10/07/2022 16:41:38,19.65,22.58,-2.29,,
36,10/07/2022 16:44:38,19.21,23.25,-2.27,,
37,10/07/2022 16:47:38,18.76,23.56,-2.46,,
38,10/07/2022 16:50:38,18.58,23.74,-2.51,,
39,10/07/2022 16:53:38,18.52,24.21,-2.30,,
40,10/07/2022 16:56:38,18.42,23.88,-2.56,,
41,10/07/2022 16:59:38,18.40,25.12,-1.90,,
42,10/07/2022 17:02:38,18.69,24.20,-2.16,,
43,10/07/2022 17:05:38,18.51,24.14,-2.35,,
44,10/07/2022 17:08:38,18.18,24.70,-2.32,,
45,10/07/2022 17:11:38,18.02,24.39,-2.63,,
46,10/07/2022 17:14:38,17.70,24.93,-2.59,,
47,10/07/2022 17:17:38,17.44,24.74,-2.92,,
48,10/07/2022 17:20:38,17.35,25.51,-2.59,,
49,10/07/2022 17:23:38,17.39,26.30,-2.14,,
50,10/07/2022 17:26:38,17.06,27.05,-2.04,,
51,10/07/2022 17:29:38,17.09,27.11,-1.98,,
52,10/07/2022 17:32:38,16.79,28.00,-1.80,,
53,10/07/2022 17:35:38,16.96,28.29,-1.52,,
54,10/07/2022 17:38:38,16.95,28.30,-1.52,,
55,10/07/2022 17:41:38,17.16,28.39,-1.30,,
56,10/07/2022 17:44:38,17.51,27.34,-1.51,,
57,10/07/2022 17:47:38,17.26,28.31,-1.25,,
58,10/07/2022 17:50:38,17.17,29.07,-0.97,,
59,10/07/2022 17:53:38,16.93,29.80,-0.83,,
60,10/07/2022 17:56:38,16.75,30.22,-0.80,,
61,10/07/2022 17:59:38,16.63,30.26,-0.89,,
62,10/07/2022 18:02:38,16.51,30.26,-0.99,,
63,10/07/2022 18:05:38,16.24,30.17,-1.27,,
64,10/07/2022 18:08:38,15.84,30.35,-1.53,,
65,10/07/2022 18:11:38,15.10,30.80,-1.98,,
66,10/07/2022 18:14:38,14.58,32.20,-1.83,,
67,10/07/2022 18:17:38,14.25,33.60,-1.54,,
68,10/07/2022 18:20:38,14.18,33.65,-1.59,,
69,10/07/2022 18:23:38,13.99,34.16,-1.54,,
70,10/07/2022 18:26:38,13.93,34.54,-1.45,,
71,10/07/2022 18:29:38,13.84,34.11,-1.70,,
72,10/07/2022 18:32:38,13.69,35.18,-1.41,,
73,10/07/2022 18:35:38,13.58,34.93,-1.61,,
74,10/07/2022 18:38:38,13.55,35.04,-1.58,,
75,10/07/2022 18:41:38,13.27,37.05,-1.07,,
76,10/07/2022 18:44:38,12.40,40.77,-0.55,,
77,10/07/2022 18:47:38,11.59,41.76,-0.95,,
78,10/07/2022 18:50:38,11.33,43.28,-0.69,,
79,10/07/2022 18:53:38,11.15,43.12,-0.91,,
80,10/07/2022 18:56:38,11.10,43.53,-0.83,,
81,10/07/2022 18:59:38,11.00,43.43,-0.95,,
82,10/07/2022 19:02:38,10.80,44.16,-0.91,,
83,10/07/2022 19:05:38,10.83,43.67,-1.03,,
84,10/07/2022 19:08:38,10.96,43.41,-0.99,,
85,10/07/2022 19:11:38,10.82,43.79,-1.00,,
86,10/07/2022 19:14:38,10.62,44.58,-0.94,,
87,10/07/2022 19:17:38,10.62,43.96,-1.13,,
88,10/07/2022 19:20:38,10.64,44.23,-1.03,,
89,10/07/2022 19:23:38,10.54,44.82,-0.94,,
90,10/07/2022 19:26:38,10.54,45.84,-0.63,,
91,10/07/2022 19:29:38,10.42,46.47,-0.55,,
92,10/07/2022 19:32:38,10.25,47.14,-0.51,,
93,10/07/2022 19:35:38,9.98,48.17,-0.46,,
94,10/07/2022 19:38:38,9.97,48.74,-0.31,,
95,10/07/2022 19:41:38,9.57,49.78,-0.39,,
96,10/07/2022 19:44:38,9.23,51.18,-0.32,,
97,10/07/2022 19:47:38,8.73,52.66,-0.40,,
98,10/07/2022 19:50:38,8.58,53.31,-0.37,,
99,10/07/2022 19:53:38,8.75,53.13,-0.26,,
100,10/07/2022 19:56:38,8.64,53.21,-0.34,,
101,10/07/2022 19:59:38,8.51,53.66,-0.34,,
102,10/07/2022 20:02:38,8.34,53.48,-0.55,,
103,10/07/2022 20:05:38,8.45,53.38,-0.47,,
104,10/07/2022 20:08:38,7.77,54.55,-0.81,,
105,10/07/2022 20:11:38,7.47,55.92,-0.75,,
106,10/07/2022 20:14:38,7.90,56.18,-0.28,,
107,10/07/2022 20:17:38,9.54,50.92,-0.11,,
108,10/07/2022 20:20:38,9.97,48.93,-0.26,,
109,10/07/2022 20:23:38,9.81,48.74,-0.46,,
110,10/07/2022 20:26:38,9.49,49.85,-0.45,,
111,10/07/2022 20:29:38,9.48,50.46,-0.29,,
112,10/07/2022 20:32:38,9.06,50.63,-0.63,,
113,10/07/2022 20:35:38,9.11,50.38,-0.65,,
114,10/07/2022 20:38:38,9.06,50.42,-0.69,,
115,10/07/2022 20:41:38,9.24,50.11,-0.60,,
116,10/07/2022 20:44:38,8.93,50.89,-0.68,,
117,10/07/2022 20:47:38,8.89,51.16,-0.65,,
118,10/07/2022 20:50:38,9.18,50.74,-0.49,,
119,10/07/2022 20:53:38,9.12,50.67,-0.56,,
120,10/07/2022 20:56:38,9.09,50.76,-0.57,,
121,10/07/2022 20:59:38,9.07,50.77,-0.58,,
122,10/07/2022 21:02:38,9.07,50.90,-0.55,,
123,10/07/2022 21:05:38,8.42,53.56,-0.46,,
124,10/07/2022 21:08:38,7.29,57.86,-0.45,,
125,10/07/2022 21:11:38,6.41,60.76,-0.61,,
126,10/07/2022 21:14:38,5.94,62.69,-0.63,,
127,10/07/2022 21:17:38,5.81,62.75,-0.74,,
128,10/07/2022 21:20:38,5.69,63.90,-0.60,,
129,10/07/2022 21:23:38,5.65,64.29,-0.56,,
130,10/07/2022 21:26:38,5.77,64.58,-0.38,,
131,10/07/2022 21:29:38,5.71,63.18,-0.73,,
132,10/07/2022 21:32:38,5.50,64.54,-0.65,,
133,10/07/2022 21:35:38,5.27,64.71,-0.83,,
134,10/07/2022 21:38:38,5.33,65.86,-0.53,,
135,10/07/2022 21:41:38,5.71,64.47,-0.46,,
136,10/07/2022 21:44:38,5.38,61.83,-1.34,,
137,10/07/2022 21:47:38,4.34,66.24,-1.40,,
138,10/07/2022 21:50:38,4.35,68.21,-0.99,,
139,10/07/2022 21:53:38,5.00,65.14,-1.00,,
140,10/07/2022 21:56:38,5.03,65.33,-0.93,,
141,10/07/2022 21:59:38,5.26,65.38,-0.69,,
142,10/07/2022 22:02:38,5.78,64.07,-0.48,,
143,10/07/2022 22:05:38,6.02,63.29,-0.42,,
144,10/07/2022 22:08:38,6.73,60.24,-0.42,,
145,10/07/2022 22:11:38,6.69,59.78,-0.57,,
146,10/07/2022 22:14:38,5.95,62.60,-0.64,,
147,10/07/2022 22:17:38,5.66,63.69,-0.67,,
148,10/07/2022 22:20:38,5.69,63.11,-0.77,,
149,10/07/2022 22:23:38,5.28,63.91,-0.98,,
150,10/07/2022 22:26:38,5.05,64.58,-1.07,,
151,10/07/2022 22:29:38,5.27,65.56,-0.65,,
152,10/07/2022 22:32:38,5.61,64.11,-0.64,,
153,10/07/2022 22:35:38,5.62,63.67,-0.72,,
154,10/07/2022 22:38:38,5.30,64.44,-0.86,,
155,10/07/2022 22:41:38,4.86,65.61,-1.03,,
156,10/07/2022 22:44:38,4.35,67.93,-1.04,,
157,10/07/2022 22:47:38,4.18,68.21,-1.15,,
158,10/07/2022 22:50:38,4.15,68.53,-1.12,,
159,10/07/2022 22:53:38,4.46,68.47,-0.83,,
160,10/07/2022 22:56:38,4.81,66.49,-0.89,,
161,10/07/2022 22:59:38,5.13,65.39,-0.81,,
162,10/07/2022 23:02:38,4.48,66.37,-1.24,,
163,10/07/2022 23:05:38,3.52,69.74,-1.49,,
164,10/07/2022 23:08:38,2.94,71.97,-1.62,,
165,10/07/2022 23:11:38,2.59,73.44,-1.67,,
166,10/07/2022 23:14:38,2.55,73.70,-1.67,,
167,10/07/2022 23:17:38,2.74,73.62,-1.49,,
168,10/07/2022 23:20:38,2.91,73.19,-1.41,,
169,10/07/2022 23:23:38,2.95,73.69,-1.28,,
170,10/07/2022 23:26:38,3.17,73.28,-1.14,,
171,10/07/2022 23:29:38,3.19,72.30,-1.31,,
172,10/07/2022 23:32:38,2.84,73.07,-1.50,,
173,10/07/2022 23:35:38,2.32,75.16,-1.62,,
174,10/07/2022 23:38:38,1.98,77.15,-1.60,,
175,10/07/2022 23:41:38,1.85,77.13,-1.72,,
176,10/07/2022 23:44:38,1.56,77.26,-1.98,,
177,10/07/2022 23:47:38,1.38,78.39,-1.96,,
178,10/07/2022 23:50:38,1.53,80.46,-1.46,,
179,10/07/2022 23:53:38,1.98,77.54,-1.53,,
180,10/07/2022 23:56:38,2.19,76.22,-1.56,,
181,10/07/2022 23:59:38,1.80,76.39,-1.91,,
182,10/08/2022 00:02:38,1.34,77.74,-2.12,,
183,10/08/2022 00:05:38,1.09,79.71,-2.02,,
184,10/08/2022 00:08:38,0.91,79.57,-2.22,,
185,10/08/2022 00:11:38,0.61,80.18,-2.41,,
186,10/08/2022 00:14:38,0.44,81.34,-2.39,,
187,10/08/2022 00:17:38,0.21,80.39,-2.77,,
188,10/08/2022 00:20:38,0.22,84.40,-2.10,,
189,10/08/2022 00:23:38,0.66,83.59,-1.80,,
190,10/08/2022 00:26:38,0.80,82.04,-1.91,,
191,10/08/2022 00:29:38,0.83,79.43,-2.32,,
192,10/08/2022 00:32:38,0.49,80.62,-2.45,,
193,10/08/2022 00:35:38,-0.08,82.19,-2.75,,
194,10/08/2022 00:38:38,-0.54,84.09,-2.90,,
195,10/08/2022 00:41:38,-0.71,86.60,-2.67,,
196,10/08/2022 00:44:38,-0.68,87.23,-2.54,,
197,10/08/2022 00:47:38,-0.68,85.07,-2.88,,
198,10/08/2022 00:50:38,-0.82,86.13,-2.85,,
199,10/08/2022 00:53:38,-0.35,87.44,-2.18,,
200,10/08/2022 00:56:38,-0.32,83.77,-2.74,,
201,10/08/2022 00:59:38,0.32,84.80,-1.94,,
202,10/08/2022 01:02:38,0.69,81.97,-2.03,,
203,10/08/2022 01:05:38,0.60,83.76,-1.83,,
204,10/08/2022 01:08:38,0.74,81.95,-1.99,,
205,10/08/2022 01:11:38,0.60,82.92,-1.97,,
206,10/08/2022 01:14:38,0.88,82.77,-1.72,,
207,10/08/2022 01:17:38,0.62,80.80,-2.30,,
208,10/08/2022 01:20:38,0.09,83.21,-2.42,,
209,10/08/2022 01:23:38,-0.19,85.15,-2.38,,
210,10/08/2022 01:26:38,-0.21,85.99,-2.27,,
211,10/08/2022 01:29:38,-0.07,84.66,-2.34,,
212,10/08/2022 01:32:38,0.16,86.64,-1.81,,
213,10/08/2022 01:35:38,0.58,84.86,-1.68,,
214,10/08/2022 01:38:38,0.57,80.77,-2.36,,
215,10/08/2022 01:41:38,-0.03,81.88,-2.76,,
216,10/08/2022 01:44:38,-0.01,87.49,-1.84,,
217,10/08/2022 01:47:38,0.67,84.99,-1.56,,
218,10/08/2022 01:50:38,0.77,82.86,-1.81,,
219,10/08/2022 01:53:38,0.49,83.20,-2.03,,
220,10/08/2022 01:56:38,0.32,84.36,-2.01,,
221,10/08/2022 01:59:38,0.00,82.64,-2.60,,
222,10/08/2022 02:02:38,-0.36,85.20,-2.54,,
223,10/08/2022 02:05:38,-0.35,86.06,-2.39,,
224,10/08/2022 02:08:38,0.03,86.01,-2.03,,
225,10/08/2022 02:11:38,0.23,85.88,-1.85,,
226,10/08/2022 02:14:38,0.28,85.64,-1.85,,
227,10/08/2022 02:17:38,0.18,86.11,-1.87,,
228,10/08/2022 02:20:38,0.01,86.13,-2.04,,
229,10/08/2022 02:23:38,0.04,85.11,-2.16,,
230,10/08/2022 02:26:38,-0.07,83.89,-2.46,,
231,10/08/2022 02:29:38,-0.36,84.77,-2.61,,
232,10/08/2022 02:32:38,-0.57,85.66,-2.68,,
233,10/08/2022 02:35:38,-0.43,86.54,-2.40,,
234,10/08/2022 02:38:38,-0.40,85.60,-2.52,,
235,10/08/2022 02:41:38,-0.41,85.33,-2.57,,
236,10/08/2022 02:44:38,-0.28,86.47,-2.27,,
237,10/08/2022 02:47:38,-0.27,86.30,-2.28,,
238,10/08/2022 02:50:38,-0.21,86.63,-2.17,,
239,10/08/2022 02:53:38,0.29,83.89,-2.12,,
240,10/08/2022 02:56:38,0.27,84.43,-2.05,,
241,10/08/2022 02:59:38,0.47,83.41,-2.02,,
242,10/08/2022 03:02:38,0.65,83.84,-1.77,,
243,10/08/2022 03:05:38,0.87,81.71,-1.91,,
244,10/08/2022 03:08:38,0.63,82.36,-2.03,,
245,10/08/2022 03:11:38,0.53,83.18,-1.99,,
246,10/08/2022 03:14:38,0.28,83.12,-2.25,,
247,10/08/2022 03:17:38,0.39,83.97,-2.00,,
248,10/08/2022 03:20:38,0.35,82.94,-2.21,,
249,10/08/2022 03:23:38,0.22,83.48,-2.25,,
250,10/08/2022 03:26:38,0.18,83.72,-2.25,,
251,10/08/2022 03:29:38,-0.14,83.69,-2.57,,
252,10/08/2022 03:32:38,-0.49,84.76,-2.74,,
253,10/08/2022 03:35:38,-0.50,86.57,-2.46,,
254,10/08/2022 03:38:38,-0.53,86.44,-2.51,,
255,10/08/2022 03:41:38,-0.40,86.98,-2.30,,
256,10/08/2022 03:44:38,-0.45,85.38,-2.61,,
257,10/08/2022 03:47:38,-0.46,85.89,-2.54,,
258,10/08/2022 03:50:38,-0.60,86.34,-2.60,,
259,10/08/2022 03:53:38,-0.71,83.90,-3.09,,
260,10/08/2022 03:56:38,-1.46,83.94,-3.82,,
261,10/08/2022 03:59:38,-1.91,87.39,-3.73,,
262,10/08/2022 04:02:38,-2.18,89.48,-3.68,,
263,10/08/2022 04:05:38,-2.30,90.70,-3.62,,
264,10/08/2022 04:08:38,-2.31,90.66,-3.63,,
265,10/08/2022 04:11:38,-2.30,90.47,-3.65,,
266,10/08/2022 04:14:38,-2.14,91.72,-3.31,,
267,10/08/2022 04:17:38,-1.88,91.52,-3.08,,
268,10/08/2022 04:20:38,-1.64,90.41,-3.01,,
269,10/08/2022 04:23:38,-1.65,89.64,-3.14,,
270,10/08/2022 04:26:38,-1.73,88.75,-3.34,,
271,10/08/2022 04:29:38,-1.83,88.19,-3.53,,
272,10/08/2022 04:32:38,-1.93,89.65,-3.41,,
273,10/08/2022 04:35:38,-2.04,90.36,-3.41,,
274,10/08/2022 04:38:38,-2.24,90.09,-3.65,,
275,10/08/2022 04:41:38,-2.39,90.93,-3.68,,
276,10/08/2022 04:44:38,-2.20,91.73,-3.37,,
277,10/08/2022 04:47:38,-2.30,91.50,-3.50,,
278,10/08/2022 04:50:38,-2.24,91.67,-3.42,,
279,10/08/2022 04:53:38,-2.13,91.65,-3.31,,
280,10/08/2022 04:56:38,-2.26,91.28,-3.49,,
281,10/08/2022 04:59:38,-2.27,91.27,-3.50,,
282,10/08/2022 05:02:38,-2.23,92.47,-3.29,,
283,10/08/2022 05:05:38,-2.02,92.16,-3.13,,
284,10/08/2022 05:08:38,-2.13,90.71,-3.45,,
285,10/08/2022 05:11:38,-1.88,91.58,-3.07,,
286,10/08/2022 05:14:38,-1.55,91.37,-2.77,,
287,10/08/2022 05:17:38,-1.38,90.10,-2.79,,
288,10/08/2022 05:20:38,-1.34,89.76,-2.81,,
289,10/08/2022 05:23:38,-1.27,89.37,-2.80,,
290,10/08/2022 05:26:38,-1.35,89.23,-2.90,,
291,10/08/2022 05:29:38,-1.73,87.14,-3.59,,
292,10/08/2022 05:32:38,-2.20,87.82,-3.95,,
293,10/08/2022 05:35:38,-2.41,90.36,-3.77,,
294,10/08/2022 05:38:38,-2.43,91.07,-3.69,,
295,10/08/2022 05:41:38,-2.32,92.09,-3.43,,
296,10/08/2022 05:44:38,-2.52,91.28,-3.76,,
297,10/08/2022 05:47:38,-2.66,92.23,-3.76,,
298,10/08/2022 05:50:38,-2.59,93.14,-3.55,,
299,10/08/2022 05:53:38,-2.49,93.44,-3.41,,
300,10/08/2022 05:56:38,-2.54,92.65,-3.58,,
301,10/08/2022 05:59:38,-2.79,90.85,-4.08,,
302,10/08/2022 06:02:38,-3.09,90.94,-4.37,,
303,10/08/2022 06:05:38,-3.05,93.25,-3.99,,
304,10/08/2022 06:08:38,-2.75,94.46,-3.52,,
305,10/08/2022 06:11:38,-2.66,92.96,-3.65,,
306,10/08/2022 06:14:38,-2.75,89.54,-4.23,,
307,10/08/2022 06:17:38,-2.84,92.94,-3.83,,
308,10/08/2022 06:20:38,-2.80,91.53,-4.00,,
309,10/08/2022 06:23:38,-2.81,91.06,-4.07,,
310,10/08/2022 06:26:38,-2.77,92.05,-3.89,,
311,10/08/2022 06:29:38,-2.89,91.44,-4.09,,
312,10/08/2022 06:32:38,-2.67,93.97,-3.52,,
313,10/08/2022 06:35:38,-2.57,92.96,-3.55,,
314,10/08/2022 06:38:38,-2.50,92.76,-3.52,,
315,10/08/2022 06:41:38,-2.12,93.50,-3.03,,
316,10/08/2022 06:44:38,-1.70,93.12,-2.67,,
317,10/08/2022 06:47:38,-1.36,91.15,-2.63,,
318,10/08/2022 06:50:38,-1.68,88.00,-3.41,,
319,10/08/2022 06:53:38,-2.16,88.93,-3.74,,
320,10/08/2022 06:56:38,-2.43,91.79,-3.59,,
321,10/08/2022 06:59:38,-2.71,90.31,-4.08,,
322,10/08/2022 07:02:38,-3.08,90.95,-4.36,,
323,10/08/2022 07:05:38,-3.18,92.86,-4.18,,
